iter	Passed	Remaining
826	5496	1149
827	5503	1143
828	5510	1136
829	5518	1130
830	5526	1123
831	5534	1117
832	5542	1111
833	5549	1104
834	5557	1098
835	5565	1091
836	5573	1085
837	5580	1078
838	5588	1072
839	5596	1065
840	5604	1059
841	5612	1053
842	5619	1046
843	5627	1040
844	5634	1033
845	5642	1027
846	5649	1020
847	5657	1014
848	5664	1007
849	5672	1001
850	5680	994
851	5687	988
852	5695	981
853	5702	974
854	5709	968
855	5717	961
856	5724	955
857	5732	948
858	5740	942
859	5747	935
860	5755	929
861	5762	922
862	5769	915
863	5777	909
864	5784	902
865	5792	896
866	5799	889
867	5807	883
868	5815	876
869	5823	870
870	5830	863
871	5838	857
872	5845	850
873	5853	843
874	5861	837
875	5869	830
876	5876	824
877	5884	817
878	5891	810
879	5899	804
880	5906	797
881	5914	791
882	5921	784
883	5929	778
884	5938	771
885	5946	765
886	5954	758
887	5961	751
888	5969	745
889	5976	738
890	5984	732
891	5992	725
892	5999	718
893	6007	712
894	6014	705
895	6022	699
896	6029	692
897	6037	685
898	6044	679
899	6052	672
900	6060	665
901	6068	659
902	6075	652
903	6083	646
904	6091	639
905	6099	632
906	6107	626
907	6114	619
908	6122	612
909	6129	606
910	6137	599
911	6144	592
912	6152	586
913	6159	579
914	6167	572
915	6174	566
916	6181	559
917	6189	552
918	6196	546
919	6204	539
920	6211	532
921	6219	526
922	6226	519
923	6234	512
924	6241	506
925	6249	499
926	6256	492
927	6264	486
928	6271	479
929	6278	472
930	6286	465
931	6293	459
932	6301	452
933	6308	445
934	6316	439
935	6325	432
936	6333	425
937	6341	419
938	6349	412
939	6356	405
940	6364	399
941	6371	392
942	6379	385
943	6386	378
944	6394	372
945	6402	365
946	6410	358
947	6418	352
948	6425	345
949	6434	338
950	6442	331
951	6451	325
952	6458	318
953	6466	311
954	6474	305
955	6482	298
956	6489	291
957	6497	284
958	6505	278
959	6512	271
960	6520	264
961	6528	257
962	6535	251
963	6543	244
964	6550	237
965	6558	230
966	6565	224
967	6573	217
968	6581	210
969	6589	203
970	6597	197
971	6604	190
972	6612	183
973	6620	176
974	6628	169
975	6635	163
976	6643	156
977	6650	149
978	6658	142
979	6665	136
980	6673	129
981	6680	122
982	6688	115
983	6695	108
984	6703	102
985	6711	95
986	6718	88
987	6726	81
988	6733	74
989	6741	68
990	6749	61
991	6756	54
992	6764	47
993	6771	40
994	6779	34
995	6786	27
996	6795	20
997	6802	13
998	6809	6
999	6817	0
